+--------------------+------+---------+
| sname              | age  | Average |
+--------------------+------+---------+
| News, Nightly      |   15 |     3.5 |
| Zappa, F.          |   16 |     3.5 |
| Emile, R.          |   18 |       4 |
| Sulfate, Barry M.  |   19 |       4 |
| Scott, Kim J.      |   20 |       4 |
| Stanley, Leotha T. |   21 |       4 |
| Sather, Roberto B. |   22 |       4 |
| Paul, Mary W.      |   23 |     3.5 |
| Soong, V.          |   24 |     2.5 |
| Cheong, R.         |   25 |       4 |
| Gooch              |   26 |       4 |
| Thorton, James Q.  |   28 |       3 |
| Mathews, John W.   |   29 |       3 |
| Dunbar, D.         |   30 |       3 |
| Pierson, E.        |   32 |       3 |
| Kirk, J.           |   34 |       4 |
| Kool, Joseph F.    |   35 |     2.5 |
| Smith, L.          |   43 |     3.5 |
| Barnes, J.         |   45 |     3.5 |
| Kennedy, Ed        |   55 |       3 |
| Carter, Jimmy      |   56 |       4 |
| Kissinger, Henry   |   58 |     3.5 |
| Ford, Gerald       |   60 |     3.5 |
| Ghandi, I.         |   78 |       4 |
| Fred, Edwin B.     |   80 |     3.5 |
| Longlastname, A.   |   99 |     3.5 |
+--------------------+------+---------+
26 rows in set (0.26 sec)
