+----------------------+----------------------+
| sname                | dname                |
+----------------------+----------------------+
| Jacobs, T.           | Civil Engineering    |
| Jacobs, T.           | Sanitary Engineering |
| Pierson, E.          | Civil Engineering    |
| Pierson, E.          | Sanitary Engineering |
| Zeene, Ben N.        | Civil Engineering    |
| Zeene, Ben N.        | Sanitary Engineering |
| Sulfate, Barry M.    | Civil Engineering    |
| Sulfate, Barry M.    | Sanitary Engineering |
| Form, Clara O.       | Civil Engineering    |
| Form, Clara O.       | Sanitary Engineering |
| Scott, Kim J.        | Civil Engineering    |
| Scott, Kim J.        | Sanitary Engineering |
| Sather, Roberto B.   | Civil Engineering    |
| Sather, Roberto B.   | Sanitary Engineering |
| Stanley, Leotha T.   | Civil Engineering    |
| Stanley, Leotha T.   | Sanitary Engineering |
| Smith, Joyce A.      | Civil Engineering    |
| Smith, Joyce A.      | Sanitary Engineering |
| Jones, David S.      | Civil Engineering    |
| Jones, David S.      | Sanitary Engineering |
| Paul, Mary W.        | Civil Engineering    |
| Paul, Mary W.        | Sanitary Engineering |
| Soong, V.            | Civil Engineering    |
| Soong, V.            | Sanitary Engineering |
| Kellerman, S.        | Civil Engineering    |
| Kellerman, S.        | Sanitary Engineering |
| Cheong, R.           | Civil Engineering    |
| Cheong, R.           | Sanitary Engineering |
| Borchart, Sandra L.  | Civil Engineering    |
| Borchart, Sandra L.  | Sanitary Engineering |
| Alsberg, David J.    | Civil Engineering    |
| Alsberg, David J.    | Sanitary Engineering |
| Thorton, James Q.    | Civil Engineering    |
| Thorton, James Q.    | Sanitary Engineering |
| Gooch                | Civil Engineering    |
| Gooch                | Sanitary Engineering |
| Smith, L.            | Civil Engineering    |
| Smith, L.            | Sanitary Engineering |
| Korpel, E.           | Civil Engineering    |
| Korpel, E.           | Sanitary Engineering |
| Surk, K.             | Civil Engineering    |
| Surk, K.             | Sanitary Engineering |
| Emile, R.            | Civil Engineering    |
| Emile, R.            | Sanitary Engineering |
| Bomber, C.           | Civil Engineering    |
| Bomber, C.           | Sanitary Engineering |
| Carter, Jimmy        | Civil Engineering    |
| Carter, Jimmy        | Sanitary Engineering |
| Kissinger, Henry     | Civil Engineering    |
| Kissinger, Henry     | Sanitary Engineering |
| Ford, Gerald         | Civil Engineering    |
| Ford, Gerald         | Sanitary Engineering |
| Anderson, P.         | Civil Engineering    |
| Anderson, P.         | Sanitary Engineering |
| Austin, G.           | Civil Engineering    |
| Austin, G.           | Sanitary Engineering |
| Hamilton, S.         | Civil Engineering    |
| Hamilton, S.         | Sanitary Engineering |
| Baker, C.            | Civil Engineering    |
| Baker, C.            | Sanitary Engineering |
| Andrews, R.          | Civil Engineering    |
| Andrews, R.          | Sanitary Engineering |
| Liu, Huihusan        | Civil Engineering    |
| Liu, Huihusan        | Sanitary Engineering |
| Chao, Tsechih        | Civil Engineering    |
| Chao, Tsechih        | Sanitary Engineering |
| Kasten, Norman L.    | Civil Engineering    |
| Kasten, Norman L.    | Sanitary Engineering |
| Mathews, John W.     | Civil Engineering    |
| Mathews, John W.     | Sanitary Engineering |
| Burroughs, Susan S.  | Civil Engineering    |
| Burroughs, Susan S.  | Sanitary Engineering |
| Dunbar, D.           | Civil Engineering    |
| Dunbar, D.           | Sanitary Engineering |
| Auen, B.             | Civil Engineering    |
| Auen, B.             | Sanitary Engineering |
| Shoemaker, A.        | Civil Engineering    |
| Shoemaker, A.        | Sanitary Engineering |
| Rosemeyer, S.        | Civil Engineering    |
| Rosemeyer, S.        | Sanitary Engineering |
| Fisher, C.           | Civil Engineering    |
| Fisher, C.           | Sanitary Engineering |
